$\epsilon=0.12$,$\epsilon=0.17$,$\epsilon=0.22$,$\epsilon=0.27$,$\epsilon=0.32$,$\epsilon=0.37$,$\epsilon=0.42$,$\epsilon=0.47$
0.11629999999999996,0.10339999999999996,0.09619999999999994,0.10189999999999996,0.09729999999999998,0.08519999999999998,0.07849999999999997,0.07550000000000001
0.23870000000000005,0.1893999999999999,0.17790000000000003,0.15899999999999997,0.15889999999999993,0.13299999999999998,0.12189999999999993,0.1041
0.3973,0.31110000000000004,0.2586000000000001,0.2384,0.19630000000000003,0.15589999999999996,0.1419,0.11899999999999997
0.5595000000000002,0.41910000000000003,0.3496999999999999,0.3050999999999999,0.23770000000000008,0.17390000000000008,0.14939999999999998,0.12449999999999996
0.7030000000000001,0.5340999999999999,0.4463,0.3570000000000001,0.26749999999999985,0.19050000000000003,0.1605999999999999,0.1273999999999999
0.801,0.6368999999999996,0.5156999999999998,0.41070000000000023,0.3068,0.22420000000000007,0.15739999999999996,0.13279999999999995
0.8785999999999998,0.7181000000000003,0.5888,0.4709000000000001,0.33699999999999997,0.2364,0.16269999999999996,0.12719999999999992
0.9206,0.7896000000000001,0.6480999999999998,0.5156000000000002,0.37410000000000004,0.2459,0.18599999999999997,0.11569999999999997
0.9476000000000002,0.8430999999999996,0.7090999999999995,0.5665,0.39770000000000005,0.2349999999999999,0.18129999999999988,0.11629999999999996
0.9661999999999993,0.8745999999999995,0.7503999999999997,0.6054999999999998,0.4050999999999999,0.2482,0.18429999999999996,0.10769999999999995
0.9756999999999995,0.9011,0.7713999999999998,0.6163999999999998,0.4107,0.2531,0.1809999999999999,0.10239999999999996
0.9827999999999997,0.9086999999999997,0.7920999999999999,0.6404,0.4171999999999999,0.2529,0.1679999999999999,0.12100000000000001
0.9874999999999998,0.9257999999999997,0.8072,0.6494000000000001,0.4244,0.2528000000000002,0.17499999999999993,0.10039999999999998
0.9918999999999998,0.9410999999999994,0.8132999999999998,0.6483,0.4323000000000002,0.2587000000000002,0.17020000000000002,0.10229999999999995
0.9942000000000002,0.9494000000000002,0.8308000000000003,0.6690000000000002,0.44260000000000005,0.2647999999999999,0.18040000000000003,0.12099999999999993
0.996,0.9541000000000004,0.8399000000000002,0.6672999999999998,0.4624999999999999,0.2734,0.16929999999999995,0.13739999999999994
0.9976999999999998,0.9610999999999998,0.8419999999999999,0.6842000000000003,0.46270000000000006,0.27490000000000003,0.16899999999999996,0.13379999999999995
0.9984000000000001,0.9645999999999998,0.8536000000000006,0.6853999999999998,0.4972,0.27,0.17699999999999996,0.11999999999999993
0.9991,0.9681000000000002,0.8614,0.6918000000000001,0.4968999999999999,0.2760999999999999,0.17600000000000005,0.11879999999999998
0.9993999999999998,0.9738,0.8667000000000002,0.6940000000000002,0.4921000000000001,0.2614,0.18469999999999998,0.12610000000000002
0.9995,0.9773999999999999,0.8709999999999997,0.6960999999999998,0.4923000000000001,0.25680000000000003,0.18800000000000006,0.14240000000000003
0.9996,0.9771,0.8863999999999996,0.7066999999999999,0.4885999999999999,0.2509999999999999,0.18540000000000004,0.14890000000000003
0.9999000000000001,0.9800999999999997,0.8798000000000005,0.7083999999999999,0.4954000000000003,0.2581,0.1895000000000001,0.13659999999999997
1.0,0.9829999999999999,0.8855999999999998,0.7170000000000001,0.4941000000000002,0.2611999999999999,0.19210000000000002,0.11529999999999996
1.0,0.9857999999999998,0.8890999999999998,0.7098,0.4936,0.2565,0.2009,0.10969999999999999
