$\epsilon=0.1$,$\epsilon=0.15$,$\epsilon=0.2$,$\epsilon=0.25$,$\epsilon=0.3$,$\epsilon=0.35$,$\epsilon=0.4$
0.12899999999999998,0.12699999999999992,0.10479999999999995,0.09909999999999998,0.11700000000000003,0.09839999999999999,0.08679999999999996
0.26960000000000006,0.25329999999999997,0.2011,0.17780000000000004,0.18079999999999996,0.13929999999999995,0.13580000000000003
0.4351000000000002,0.38500000000000006,0.2973000000000001,0.2591000000000001,0.23629999999999995,0.17769999999999997,0.16199999999999995
0.5988000000000002,0.5302999999999998,0.4160999999999999,0.33849999999999986,0.27299999999999996,0.21480000000000007,0.17780000000000004
0.7139000000000002,0.6359,0.49760000000000004,0.4129999999999998,0.3172999999999999,0.23889999999999997,0.19130000000000003
0.8087000000000001,0.7201000000000002,0.5737999999999999,0.4890000000000002,0.35109999999999997,0.24710000000000004,0.20020000000000004
0.8688999999999997,0.7947000000000002,0.6427000000000003,0.5367999999999998,0.3985000000000001,0.24979999999999997,0.20829999999999999
0.9119999999999994,0.843,0.6980000000000001,0.5829000000000003,0.4305999999999998,0.2764,0.20679999999999998
0.9423999999999998,0.8796999999999997,0.7354999999999998,0.6240999999999999,0.4462,0.29130000000000006,0.21670000000000006
0.9605,0.9061999999999999,0.7696000000000005,0.6456000000000001,0.4575000000000001,0.29030000000000006,0.2241
0.9745999999999994,0.9266999999999997,0.7985000000000003,0.6736000000000003,0.4717,0.301,0.22109999999999994
0.9839999999999999,0.9442999999999998,0.8332999999999994,0.6993999999999998,0.4747999999999999,0.3071999999999999,0.21330000000000002
0.9908999999999998,0.9562999999999998,0.8600999999999999,0.7162,0.4890999999999998,0.3117,0.1992
0.9943999999999998,0.9662999999999999,0.8740000000000001,0.7339,0.5026999999999999,0.33029999999999987,0.198
0.9974999999999998,0.9729999999999996,0.8913999999999997,0.7518000000000005,0.5125,0.3206,0.20079999999999995
0.9976999999999998,0.9836999999999999,0.9006999999999998,0.7627999999999996,0.5115000000000001,0.34020000000000017,0.19719999999999996
0.9984000000000001,0.9884999999999997,0.9117999999999999,0.7759,0.5145000000000001,0.354,0.19169999999999998
0.9987,0.9893999999999997,0.9178000000000003,0.7760999999999999,0.5294999999999999,0.3422,0.21340000000000006
0.9996,0.9910000000000001,0.9261000000000001,0.7766000000000001,0.5415000000000001,0.3458999999999999,0.2327
0.9998999999999999,0.9928999999999999,0.9304000000000003,0.7859999999999997,0.5392000000000001,0.3398,0.21879999999999997
0.9998999999999999,0.9943999999999998,0.9364999999999994,0.7833999999999999,0.5505,0.3361999999999999,0.2182
1.0,0.9957,0.9442999999999999,0.7913,0.5494,0.34380000000000005,0.23469999999999996
1.0,0.9949999999999999,0.9499999999999998,0.7998999999999999,0.5438000000000002,0.3427000000000001,0.22890000000000005
1.0,0.9971,0.9529000000000001,0.8021000000000003,0.5463000000000001,0.3342000000000001,0.21299999999999997
1.0,0.9981,0.9574999999999999,0.8088000000000001,0.5453,0.3340000000000002,0.21850000000000003
1.0,0.9984000000000001,0.9573000000000002,0.8052000000000001,0.5383000000000002,0.3477,0.21710000000000015
1.0,0.9976,0.954,0.8053999999999999,0.5491999999999999,0.3607000000000001,0.2397
1.0,0.998,0.9664000000000003,0.8051999999999998,0.5549999999999996,0.36309999999999987,0.24259999999999998
1.0,0.9989,0.9702999999999997,0.8051000000000001,0.5643,0.3465,0.23660000000000006
1.0,0.9987,0.9743999999999997,0.8056999999999996,0.5730000000000001,0.3440000000000001,0.23
1.0,0.9991,0.9774,0.8019999999999997,0.5723999999999997,0.3400000000000001,0.22850000000000015
1.0,0.9997999999999999,0.9787,0.8164999999999999,0.5642,0.35619999999999974,0.2231
1.0,0.9998,0.9815999999999998,0.8162999999999997,0.5714000000000001,0.34459999999999996,0.20950000000000013
1.0,0.9998999999999999,0.985,0.8198000000000003,0.5584000000000001,0.3447999999999999,0.2015999999999999
1.0,0.9998999999999999,0.9863,0.8223999999999999,0.5694000000000001,0.34059999999999996,0.2046
1.0,1.0,0.9871000000000001,0.8151,0.5689999999999998,0.35369999999999996,0.20859999999999995
1.0,1.0,0.9882,0.8122000000000003,0.5754999999999995,0.3521999999999999,0.2052
1.0,1.0,0.9900999999999999,0.8156,0.5680000000000001,0.3545,0.20560000000000003
1.0,1.0,0.9903999999999997,0.8177,0.5551999999999999,0.33990000000000004,0.2157
1.0,1.0,0.9925000000000002,0.8272999999999999,0.5705,0.35240000000000005,0.21609999999999993
1.0,1.0,0.9939,0.8252000000000004,0.5748,0.3483,0.23509999999999992
1.0,1.0,0.9945,0.8218999999999997,0.5717000000000001,0.35859999999999986,0.24669999999999992
1.0,1.0,0.9936999999999999,0.8245000000000001,0.5681,0.3618000000000001,0.23569999999999997
1.0,1.0,0.9941000000000001,0.8221999999999998,0.5741000000000003,0.36119999999999997,0.2275
1.0,1.0,0.9944999999999997,0.8281999999999998,0.5707000000000001,0.36200000000000015,0.22549999999999998
1.0,1.0,0.9944000000000002,0.8346999999999996,0.5763,0.33880000000000005,0.21730000000000005
1.0,1.0,0.9951999999999999,0.8404000000000003,0.5764999999999997,0.34690000000000004,0.22910000000000003
1.0,1.0,0.9956,0.8457000000000002,0.5964,0.3363999999999999,0.23320000000000007
1.0,1.0,0.9954999999999999,0.8453,0.5991000000000003,0.3482999999999999,0.22810000000000002
1.0,1.0,0.9952,0.8466999999999998,0.6043,0.34490000000000004,0.22720000000000018
1.0,1.0,0.9947999999999999,0.8567000000000001,0.5967000000000001,0.3457000000000001,0.22519999999999998
1.0,1.0,0.9955999999999999,0.8573999999999999,0.5970000000000001,0.347,0.22269999999999995
1.0,1.0,0.9956999999999999,0.8614999999999999,0.6079,0.34010000000000007,0.2238000000000001
1.0,1.0,0.9952000000000001,0.8525,0.5962999999999999,0.3367,0.2162
