$\epsilon=0.1$,$\epsilon=0.15$,$\epsilon=0.2$,$\epsilon=0.25$,$\epsilon=0.3$,$\epsilon=0.35$,$\epsilon=0.4$
0.11509999999999992,0.10609999999999997,0.10739999999999993,0.10649999999999993,0.0747999999999999,0.0776,0.08569999999999994
0.22310000000000005,0.21599999999999994,0.19360000000000002,0.1686000000000001,0.12789999999999999,0.1206,0.12219999999999993
0.3898000000000001,0.35190000000000005,0.28269999999999995,0.2607,0.16870000000000002,0.15219999999999992,0.13509999999999991
0.5585000000000001,0.5040000000000001,0.3902999999999999,0.35019999999999996,0.21099999999999994,0.1894,0.14219999999999994
0.6970999999999998,0.6350999999999997,0.47980000000000017,0.4368999999999999,0.25079999999999997,0.20959999999999998,0.14799999999999996
0.8049000000000005,0.7371000000000001,0.5711000000000004,0.5034000000000002,0.3013,0.23720000000000005,0.1653999999999999
0.8670000000000002,0.8123999999999997,0.6663000000000003,0.5608000000000001,0.352,0.2578999999999999,0.18780000000000005
0.909,0.8650000000000003,0.72,0.5983000000000002,0.38709999999999994,0.27999999999999997,0.1929999999999999
0.9393999999999996,0.8976,0.7645000000000001,0.6434000000000001,0.40519999999999995,0.3036999999999999,0.2086000000000001
0.9611000000000004,0.9264999999999999,0.8011000000000001,0.6765000000000001,0.4274000000000001,0.30419999999999997,0.19059999999999996
0.9754999999999994,0.9419,0.8339999999999997,0.7116,0.44329999999999997,0.3123000000000001,0.18919999999999995
0.9849,0.9556999999999998,0.8538,0.7277999999999998,0.45270000000000016,0.32209999999999994,0.20259999999999997
0.9908000000000001,0.9653999999999999,0.8646999999999998,0.7422999999999997,0.4613000000000001,0.3336,0.2043
0.9951999999999999,0.9732999999999997,0.8735,0.7551000000000001,0.4683999999999998,0.32460000000000006,0.19640000000000002
0.998,0.9788999999999999,0.8849000000000001,0.7643000000000002,0.4911999999999999,0.3442,0.2036
0.9994,0.9833,0.8902,0.7626,0.5052,0.33930000000000005,0.20310000000000003
0.9998,0.9883999999999997,0.8949000000000003,0.7711,0.5163000000000002,0.3396000000000001,0.19500000000000006
1.0,0.9907999999999998,0.9055,0.7757999999999997,0.5390999999999999,0.349,0.20279999999999998
1.0,0.9915999999999999,0.9158000000000004,0.7839,0.5417000000000001,0.3404999999999998,0.19439999999999993
1.0,0.9918,0.914,0.7765999999999998,0.5561,0.3699,0.20229999999999998
1.0,0.9940999999999999,0.9225,0.7696,0.5582000000000001,0.3595999999999999,0.1966
1.0,0.9957000000000003,0.9262000000000004,0.7735,0.5673999999999999,0.35370000000000024,0.2095
1.0,0.9963,0.9278999999999997,0.7680000000000001,0.565,0.36009999999999986,0.20299999999999993
1.0,0.9965,0.9329999999999997,0.7731,0.5654,0.37089999999999984,0.19989999999999994
1.0,0.9964999999999999,0.9349999999999998,0.7727,0.5624000000000001,0.37439999999999984,0.19899999999999995
1.0,0.9980999999999999,0.9409000000000001,0.7798999999999999,0.5577999999999999,0.37729999999999997,0.20339999999999986
1.0,0.9990000000000001,0.9446000000000002,0.7770000000000004,0.5610999999999999,0.36460000000000004,0.2024999999999999
1.0,0.9991000000000001,0.9491,0.7800999999999998,0.5591,0.35979999999999995,0.21100000000000005
1.0,0.9992,0.9509999999999996,0.7896000000000001,0.575,0.37040000000000023,0.22589999999999996
1.0,0.9992,0.9537999999999998,0.7929999999999999,0.5876,0.3651000000000002,0.21819999999999998
1.0,0.9994,0.9564999999999998,0.7833999999999998,0.5862,0.37360000000000004,0.21850000000000008
1.0,0.9993000000000001,0.9576,0.7661999999999999,0.5905000000000001,0.35730000000000006,0.2207
1.0,0.9993000000000001,0.9650999999999997,0.7701000000000003,0.5986,0.34919999999999995,0.20550000000000004
1.0,0.9994,0.9640000000000002,0.775,0.5844,0.34630000000000005,0.20989999999999998
1.0,0.9996,0.9651000000000002,0.7944999999999998,0.5969000000000001,0.3356,0.2161000000000001
1.0,0.9996,0.9667,0.7896000000000004,0.5951000000000002,0.3234,0.22680000000000003
1.0,0.9998999999999999,0.9656,0.7842999999999997,0.6001,0.3296,0.21340000000000003
1.0,0.9997,0.9659999999999996,0.7800000000000001,0.5879,0.3349,0.20669999999999994
1.0,0.9996,0.9667999999999999,0.7787,0.5853,0.32349999999999995,0.2039999999999999
1.0,0.9997,0.9727000000000001,0.7836,0.5757,0.3287,0.20729999999999996
1.0,0.9998,0.9702,0.7770999999999997,0.5712999999999998,0.34149999999999997,0.21039999999999995
1.0,1.0,0.9736,0.7774999999999999,0.5801000000000002,0.34380000000000016,0.20509999999999998
1.0,1.0,0.9749000000000001,0.7848999999999998,0.5792,0.3292,0.2087
1.0,1.0,0.9759,0.7810999999999997,0.5851999999999999,0.32969999999999994,0.20390000000000008
