$\epsilon=0.1$,$\epsilon=0.15$,$\epsilon=0.2$,$\epsilon=0.25$,$\epsilon=0.3$,$\epsilon=0.35$,$\epsilon=0.4$
0.10269999999999996,0.08809999999999993,0.09559999999999996,0.09009999999999999,0.08039999999999999,0.08899999999999998,0.07589999999999998
0.1612,0.1306,0.1403999999999999,0.13129999999999994,0.09719999999999995,0.11429999999999998,0.09949999999999998
0.2155,0.17819999999999994,0.18339999999999992,0.17689999999999995,0.11579999999999989,0.13629999999999995,0.11279999999999997
0.2721,0.22210000000000005,0.22920000000000013,0.206,0.14749999999999994,0.1436,0.1286
0.32660000000000017,0.25299999999999995,0.27459999999999984,0.23240000000000005,0.17999999999999997,0.14989999999999995,0.1408
0.37020000000000003,0.29429999999999995,0.3177000000000001,0.2562,0.19090000000000004,0.16129999999999992,0.14150000000000001
0.4133999999999999,0.337,0.3615,0.29170000000000007,0.20089999999999997,0.1606,0.12969999999999993
0.4413000000000001,0.3814,0.40109999999999985,0.3122,0.22569999999999996,0.1735,0.13649999999999993
0.4846000000000001,0.4169000000000001,0.43720000000000014,0.34539999999999993,0.24720000000000006,0.17859999999999998,0.142
0.5154000000000001,0.43970000000000026,0.4729999999999999,0.36510000000000004,0.2692,0.18419999999999997,0.1450999999999999
0.5463,0.47790000000000016,0.5086999999999997,0.38820000000000027,0.2837000000000001,0.19550000000000003,0.14509999999999992
0.5789999999999998,0.5101,0.5385000000000001,0.4202,0.2965999999999999,0.2228,0.1467999999999999
0.6084999999999998,0.5514000000000001,0.5659,0.4462000000000001,0.30560000000000004,0.22390000000000004,0.1453999999999999
0.6326000000000002,0.5752000000000002,0.5930999999999998,0.4688999999999998,0.3195000000000001,0.22509999999999997,0.14419999999999988
0.6577999999999998,0.6088000000000001,0.6134999999999998,0.4854999999999998,0.32379999999999987,0.2266,0.1609
0.6785999999999999,0.6395000000000001,0.628,0.5032,0.3377999999999999,0.242,0.16879999999999995
0.6960999999999999,0.6643999999999995,0.6561999999999999,0.5185999999999997,0.36119999999999974,0.22910000000000014,0.15809999999999996
0.7100000000000003,0.6893,0.6748999999999999,0.5324000000000001,0.3733000000000001,0.2401000000000001,0.16349999999999995
0.7252999999999998,0.7192999999999999,0.7016000000000001,0.5504999999999999,0.3721000000000002,0.24420000000000008,0.15899999999999992
